ダウンロードした時刻：2021/02/03 17:32:28

,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇
2014/12/6,16.6,8,1,17.8,8,1,15.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後一時晴,8,1
2014/12/7,17.6,8,1,20.0,8,1,13.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇,8,1
2014/12/8,18.6,8,1,20.9,8,1,17.1,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後晴,8,1
2014/12/9,19.0,8,1,22.3,8,1,16.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2014/12/10,20.8,8,1,23.8,8,1,17.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,雨時々曇,8,1
2014/12/11,20.4,8,1,22.5,8,1,18.5,8,1,14.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨,8,1
2014/12/12,17.9,8,1,19.2,8,1,17.0,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇一時雨,8,1
2014/12/13,16.5,8,1,17.9,8,1,15.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴時々曇一時雨,8,1
2014/12/14,16.9,8,1,19.2,8,1,14.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2014/12/15,19.0,8,1,22.1,8,1,14.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,雨時々曇一時晴,8,1
2014/12/16,17.7,8,1,21.2,8,1,14.3,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇,8,1
2014/12/17,14.0,8,1,14.9,8,1,13.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2014/12/18,15.4,8,1,17.5,8,1,13.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,晴後時々曇,8,1
2014/12/19,17.4,8,1,20.1,8,1,14.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2014/12/20,17.7,8,1,20.0,8,1,16.4,8,1,32.5,0,8,1,0,1,8,1,0,1,8,1,大雨時々曇,8,1,晴時々曇,8,1
2014/12/21,16.6,8,1,18.9,8,1,14.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,曇時々晴,8,1
2014/12/22,14.5,8,1,15.6,8,1,12.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後時々晴,8,1
2014/12/23,16.4,8,1,19.9,8,1,12.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇時々晴,8,1
2014/12/24,19.3,8,1,23.7,8,1,16.0,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇時々雨,8,1,晴一時曇,8,1
2014/12/25,18.0,8,1,20.5,8,1,14.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇時々雨,8,1
2014/12/26,17.2,8,1,19.7,8,1,15.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々晴,8,1
2014/12/27,18.0,8,1,21.2,8,1,15.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇後時々雨,8,1
2014/12/28,18.5,8,1,22.1,8,1,16.4,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,雨時々晴一時曇,8,1,雨,8,1
2014/12/29,16.8,8,1,18.4,8,1,15.7,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴時々曇,8,1
2014/12/30,16.4,8,1,19.1,8,1,14.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2014/12/31,16.6,8,1,19.6,8,1,12.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時曇,8,1
2015/1/1,14.2,8,1,16.3,8,1,13.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2015/1/2,14.4,8,1,16.4,8,1,13.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2015/1/3,14.6,8,1,17.5,8,1,11.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴,8,1
2015/1/4,15.6,8,1,20.5,8,1,10.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/1/5,17.6,8,1,22.3,8,1,12.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時曇,8,1
2015/1/6,19.4,8,1,22.2,8,1,15.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴後時々雨,8,1,曇,8,1
2015/1/7,16.8,8,1,18.6,8,1,15.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々雨,8,1
2015/1/8,15.1,8,1,15.7,8,1,14.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2015/1/9,15.8,8,1,17.2,8,1,14.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後晴,8,1
2015/1/10,16.0,8,1,18.0,8,1,14.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時曇,8,1
2015/1/11,15.7,8,1,18.3,8,1,13.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2015/1/12,16.1,8,1,18.2,8,1,14.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々晴,8,1
2015/1/13,18.0,8,1,21.0,8,1,14.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇時々雨一時晴,8,1
2015/1/14,19.4,8,1,21.7,8,1,17.1,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,晴時々曇一時雨,8,1
2015/1/15,17.4,8,1,19.4,5,1,15.9,5,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇,8,1
2015/1/16,16.8,8,1,18.7,8,1,15.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2015/1/17,15.7,8,1,17.0,8,1,14.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇一時晴,8,1
2015/1/18,15.4,8,1,17.1,8,1,13.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時晴,8,1
2015/1/19,15.9,8,1,18.1,8,1,14.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後時々晴,8,1
2015/1/20,17.2,8,1,20.2,8,1,14.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々晴,8,1
2015/1/21,18.9,8,1,21.2,8,1,17.2,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇後晴,8,1
2015/1/22,16.1,8,1,17.7,8,1,14.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴一時雨,8,1
2015/1/23,14.7,8,1,16.5,8,1,12.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2015/1/24,15.0,8,1,20.0,8,1,9.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/1/25,18.1,8,1,22.1,8,1,13.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2015/1/26,20.3,8,1,23.5,8,1,17.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,雨時々曇一時晴,8,1
2015/1/27,18.1,8,1,20.2,8,1,17.0,8,1,7.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇後雨,8,1
2015/1/28,16.6,8,1,18.0,8,1,15.4,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇後一時晴,8,1
2015/1/29,17.6,8,1,21.3,8,1,15.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,晴一時曇,8,1
2015/1/30,16.4,8,1,20.0,8,1,15.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後雨時々曇,8,1,曇時々雨,8,1
2015/1/31,14.7,8,1,15.7,8,1,13.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇一時晴,8,1
2015/2/1,15.1,8,1,17.5,8,1,13.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2015/2/2,16.8,8,1,19.6,8,1,14.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2015/2/3,16.7,8,1,18.5,8,1,15.3,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後一時雨,8,1
2015/2/4,16.6,8,1,17.8,8,1,15.0,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇時々雨,8,1
2015/2/5,14.2,8,1,15.8,8,1,12.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇一時雨,8,1
2015/2/6,14.4,8,1,16.9,8,1,12.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,晴時々曇,8,1
2015/2/7,16.0,8,1,19.2,8,1,12.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後雨,8,1
2015/2/8,14.0,8,1,16.7,8,1,12.2,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2015/2/9,12.1,8,1,14.2,8,1,10.0,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨後晴,8,1
2015/2/10,13.3,8,1,15.8,8,1,11.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/2/11,14.3,8,1,18.3,8,1,9.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,曇後時々雨,8,1
2015/2/12,15.9,8,1,18.9,8,1,13.4,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇後晴,8,1,晴,8,1
2015/2/13,15.4,8,1,17.7,8,1,13.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/2/14,15.5,8,1,19.0,8,1,11.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時曇,8,1
2015/2/15,17.5,8,1,21.4,8,1,12.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇一時晴後時々雨,8,1
2015/2/16,19.4,8,1,22.0,8,1,17.1,8,1,7.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時晴,8,1,曇一時雨後晴,8,1
2015/2/17,17.4,8,1,19.7,8,1,15.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/2/18,15.6,8,1,17.7,8,1,14.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々曇,8,1
2015/2/19,15.0,8,1,17.0,8,1,13.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2015/2/20,15.6,8,1,19.4,8,1,12.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2015/2/21,18.4,8,1,21.7,8,1,14.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴後曇一時雨,8,1
2015/2/22,20.9,8,1,24.0,8,1,18.5,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨一時晴,8,1
2015/2/23,20.1,8,1,23.3,8,1,18.1,8,1,21.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2015/2/24,20.1,8,1,21.5,8,1,17.7,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時晴,8,1,晴,8,1
2015/2/25,20.2,8,1,24.3,8,1,16.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇時々晴,8,1
2015/2/26,21.9,8,1,25.0,8,1,20.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇一時雨,8,1,曇時々晴,8,1
2015/2/27,18.9,8,1,20.7,8,1,17.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2015/2/28,20.2,8,1,22.9,8,1,17.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2015/3/1,17.6,8,1,21.7,8,1,15.4,8,1,18.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨,8,1
2015/3/2,16.7,8,1,19.1,8,1,14.9,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後曇,8,1
2015/3/3,19.9,8,1,23.7,8,1,16.3,8,1,12.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,雨時々曇,8,1
2015/3/4,15.4,8,1,17.0,8,1,14.4,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後曇,8,1
2015/3/5,16.3,8,1,19.3,8,1,14.3,8,1,0.0,0,5,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2015/3/6,18.3,8,1,19.6,8,1,16.4,8,1,13.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇一時霧雨,8,1
2015/3/7,18.1,8,1,20.9,8,1,16.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後一時晴,8,1
2015/3/8,18.3,8,1,20.9,8,1,16.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,雨時々曇,8,1
2015/3/9,18.0,8,1,20.1,8,1,16.1,8,1,29.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時晴,8,1,曇時々晴,8,1
2015/3/10,14.1,8,1,16.2,8,1,12.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時晴,8,1
2015/3/11,14.1,8,1,16.6,8,1,12.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2015/3/12,14.3,8,1,16.5,8,1,13.1,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇時々雨後晴,8,1
2015/3/13,16.9,8,1,21.4,8,1,11.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後時々曇,8,1
2015/3/14,20.5,8,1,23.5,8,1,17.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇時々晴,8,1
2015/3/15,22.0,8,1,24.5,8,1,20.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴,8,1
2015/3/16,21.9,8,1,24.8,8,1,20.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,晴後時々曇,8,1
2015/3/17,21.8,8,1,24.9,8,1,20.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2015/3/18,21.5,8,1,24.6,8,1,19.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々曇,8,1
2015/3/19,22.5,8,1,25.3,8,1,20.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇一時雨,8,1
2015/3/20,21.6,8,1,23.8,8,1,20.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴一時曇,8,1
2015/3/21,21.1,8,1,24.5,8,1,19.5,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々雨,8,1
2015/3/22,20.4,8,1,23.7,8,1,18.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴,8,1
2015/3/23,19.2,8,1,22.5,8,1,15.2,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇時々雨,8,1
2015/3/24,18.0,8,1,21.2,8,1,15.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2015/3/25,16.7,8,1,18.8,8,1,15.0,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,雨時々曇,8,1
2015/3/26,18.4,8,1,20.6,8,1,16.2,8,1,4.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨後晴,8,1,曇,8,1
2015/3/27,19.5,8,1,22.2,8,1,18.0,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨後曇,8,1
2015/3/28,21.1,8,1,23.4,8,1,18.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,曇時々晴,8,1
2015/3/29,20.9,8,1,23.1,8,1,18.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/3/30,21.0,8,1,24.9,8,1,17.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2015/3/31,22.2,8,1,25.5,8,1,20.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴一時曇,8,1
2015/4/1,23.6,8,1,26.6,8,1,21.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/4/2,23.6,8,1,27.5,8,1,21.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2015/4/3,24.4,8,1,27.4,8,1,22.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2015/4/4,24.8,8,1,28.8,8,1,22.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,曇,8,1
2015/4/5,25.5,8,1,28.7,8,1,23.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後晴,8,1
2015/4/6,25.0,8,1,27.9,8,1,23.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2015/4/7,24.8,8,1,27.0,8,1,22.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,曇時々雨一時晴,8,1
2015/4/8,20.0,8,1,22.5,8,1,18.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇一時雨,8,1
2015/4/9,20.9,8,1,23.6,8,1,19.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時雨,8,1
2015/4/10,21.1,8,1,23.5,8,1,19.2,8,1,12.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,雨時々曇,8,1
2015/4/11,20.1,8,1,22.2,8,1,19.1,8,1,21.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,大雨,8,1
2015/4/12,21.0,8,1,23.4,8,1,19.2,8,1,29.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇時々雨,8,1
2015/4/13,19.2,8,1,21.7,8,1,17.5,8,1,11.0,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,曇時々雨一時晴,8,1
2015/4/14,18.5,8,1,21.0,8,1,16.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴,8,1
2015/4/15,19.3,8,1,22.5,8,1,16.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,薄曇一時晴,8,1
2015/4/16,21.2,8,1,24.7,8,1,16.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2015/4/17,23.6,8,1,27.9,8,1,19.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴時々薄曇,8,1
2015/4/18,22.9,8,1,24.7,8,1,21.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇後一時雨,8,1,曇時々雨,8,1
2015/4/19,23.2,8,1,24.6,8,1,21.9,8,1,15.5,0,8,1,0,1,8,1,0,1,8,1,雨後一時曇,8,1,雨時々曇,8,1
2015/4/20,23.9,8,1,26.6,8,1,21.5,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2015/4/21,20.6,8,1,21.9,8,1,19.2,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々雨,8,1
2015/4/22,20.8,8,1,22.4,8,1,19.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,晴一時曇,8,1
2015/4/23,21.3,8,1,24.8,8,1,18.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後一時晴,8,1,薄曇,8,1
2015/4/24,22.2,8,1,24.9,8,1,20.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇,8,1
2015/4/25,21.7,8,1,24.5,8,1,20.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,晴一時曇,8,1
2015/4/26,21.7,8,1,25.2,8,1,18.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時曇,8,1
2015/4/27,22.2,8,1,24.4,8,1,19.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々晴後一時雨,8,1
2015/4/28,23.6,8,1,26.7,8,1,21.6,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨時々曇,8,1
2015/4/29,23.5,8,1,25.2,8,1,21.8,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時晴,8,1
2015/4/30,22.5,8,1,24.5,8,1,20.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴,8,1
2015/5/1,21.7,8,1,25.0,8,1,19.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2015/5/2,22.9,8,1,26.9,8,1,19.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴時々曇,8,1
2015/5/3,24.6,8,1,27.0,8,1,22.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2015/5/4,22.6,8,1,25.3,8,1,21.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/5/5,22.0,8,1,24.7,8,1,20.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々晴一時雨,8,1
2015/5/6,23.6,8,1,27.9,8,1,20.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇一時雨,8,1
2015/5/7,23.9,8,1,27.5,8,1,22.4,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時晴,8,1,晴一時曇,8,1
2015/5/8,23.9,8,1,26.8,8,1,20.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴後一時曇,8,1
2015/5/9,25.7,8,1,28.5,8,1,23.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴、霧を伴う,8,1,曇時々晴,8,1
2015/5/10,25.5,8,1,29.4,8,1,23.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,曇時々晴,8,1
2015/5/11,26.4,8,1,30.3,8,1,24.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後時々雨、大風・雷を伴う,8,1
2015/5/12,23.8,8,1,26.2,8,1,21.4,8,1,9.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨、大風を伴う,8,1,曇後時々晴,8,1
2015/5/13,23.9,8,1,27.1,8,1,20.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇一時晴,8,1
2015/5/14,26.9,8,1,30.0,8,1,24.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,薄曇後一時晴,8,1
2015/5/15,26.9,8,1,29.7,8,1,25.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々曇,8,1
2015/5/16,26.8,8,1,29.6,8,1,25.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴一時曇,8,1
2015/5/17,26.3,8,1,29.1,8,1,24.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2015/5/18,26.9,8,1,29.9,5,1,25.1,5,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/5/19,26.6,8,1,29.7,8,1,24.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇時々晴一時雨,8,1
2015/5/20,24.7,8,1,26.9,8,1,22.9,8,1,33.0,0,8,1,0,1,8,1,0,1,8,1,大雨時々曇,8,1,曇時々雨,8,1
2015/5/21,22.6,8,1,25.4,8,1,20.2,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨時々曇,8,1
2015/5/22,21.8,8,1,24.4,8,1,18.8,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨時々曇,8,1
2015/5/23,25.6,8,1,27.4,8,1,23.2,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2015/5/24,24.5,8,1,25.8,8,1,23.5,8,1,86.0,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨時々曇,8,1
2015/5/25,25.0,8,1,28.6,8,1,23.7,8,1,8.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時雨,8,1
2015/5/26,25.0,8,1,27.7,8,1,23.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,晴一時曇,8,1
2015/5/27,25.3,8,1,28.3,8,1,23.5,8,1,3.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,雨一時曇、雷を伴う,8,1
2015/5/28,25.2,8,1,26.5,8,1,23.5,8,1,47.0,0,8,1,0,1,8,1,0,1,8,1,曇時々大雨、雷を伴う,8,1,曇時々晴,8,1
2015/5/29,26.8,8,1,29.2,8,1,25.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇後一時晴,8,1
2015/5/30,28.1,8,1,30.5,8,1,26.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後一時雨,8,1
2015/5/31,26.6,8,1,28.9,8,1,25.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
